epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,665.523,1.90396,2.61231,0.99001,0.58459,0.43344,0.44381,0.20515,2.01058,1.97298,1.01643,0.000661728,0.000661728,0.000661728
2,1335.55,1.85943,1.84275,0.98124,0.7096,0.48701,0.5316,0.25731,1.90689,1.68401,0.98748,0.00128456,0.00128456,0.00128456
